kabupaten_kota,tahun,rasio_murid_per_guru_sd,rasio_murid_per_guru_smp,rasio_murid_per_guru_sma,rasio_murid_per_guru_smk,Jenjang_Terlemah,Prediksi_Jenjang_Terlemah
Kabupaten Aceh Tamiang,2025,13.118396226415094,11.428440366972477,11.556930693069306,8.706493506493507,SD,SD
Kabupaten Aceh Tengah,2016,9.202548930359582,7.501154734411085,8.95,10.774038461538462,SMK,SMK
Kabupaten Aceh Tengah,2017,9.370944992947814,7.473067915690867,8.572222222222223,11.798076923076923,SMK,SMK
Kabupaten Aceh Tengah,2018,9.409306742640076,6.995310668229777,7.989031078610603,11.652380952380952,SMK,SMK
Kabupaten Aceh Tengah,2019,9.202548930359582,6.454831932773109,7.738898756660746,11.50943396226415,SMK,SMK
Kabupaten Aceh Tengah,2020,8.71034180543383,5.887254901960785,7.451438848920863,9.492248062015504,SMK,SMK
Kabupaten Aceh Tengah,2021,9.144967682363804,6.223684210526316,8.242544731610337,11.591269841269842,SMK,SMK
Kabupaten Aceh Tengah,2022,8.534743202416918,6.050147492625369,8.284069097888676,8.490706319702602,SD,SD
Kabupaten Aceh Tengah,2023,8.230422304223042,6.107750472589792,8.702803738317757,7.691525423728813,SMA,SMA
Kabupaten Aceh Tengah,2024,7.9550956657555645,6.423113658070678,9.355899419729207,7.382059800664452,SMA,SMA
Kabupaten Aceh Tengah,2025,7.673105497771174,6.639850327408793,9.552380952380952,7.833333333333333,SMA,SMA
Kabupaten Aceh Tenggara,2016,14.993075591459895,12.655172413793103,14.013257575757576,10.86046511627907,SD,SD
Kabupaten Aceh Tenggara,2017,15.395625,12.184115523465705,13.629562043795621,10.532520325203253,SD,SD
Kabupaten Aceh Tenggara,2018,16.039240506329115,11.907142857142857,12.513321492007105,9.889705882352942,SD,SD
Kabupaten Aceh Tenggara,2019,14.993075591459895,10.697190426638917,11.29818780889621,9.36241610738255,SD,SD
Kabupaten Aceh Tenggara,2020,13.16125708397733,9.86787072243346,10.388802488335925,8.159375,SD,SD
Kabupaten Aceh Tenggara,2021,13.55700325732899,10.371628371628372,11.079931972789115,9.679310344827586,SD,SD
Kabupaten Aceh Tenggara,2022,12.583290355853533,9.78168362627197,10.531746031746032,8.148148148148149,SD,SD
Kabupaten Aceh Tenggara,2023,11.119307832422587,8.98927392739274,9.903177004538579,7.4335443037974684,SD,SD
Kabupaten Aceh Tenggara,2024,9.962087240114146,9.06425702811245,9.696531791907514,6.954022988505747,SD,SD
Kabupaten Aceh Tenggara,2025,9.268154311649017,8.240596167494678,9.266483516483516,7.239130434782608,SD,SD
Kabupaten Aceh Timur,2016,11.767284111661883,9.990760483297796,10.28214731585518,11.03951367781155,SD,SD
Kabupaten Aceh Timur,2017,12.44228132711818,10.387710314557426,10.251207729468598,10.238461538461538,SD,SD
Kabupaten Aceh Timur,2018,12.507734806629834,10.143272727272727,10.144549763033176,9.416666666666666,SD,SD
